,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
3246,SablonssurHuisne,26269.0,11.11%,2.22%,nc,83.01%,119.0,nc,16.94%,2005.0
3247,Saint-Étienne-de-Fontbellon,28845.0,14.51%,1.81%,2230.71,84.54%,232.0,nc,15.55%,2880.0
3248,Talant,33896.0,14.79%,3.01%,2625.30,83.67%,623.0,nc,18.71%,11788.0
3249,Valgelon-LaRochette,25146.0,11.49%,1.58%,2427.64,84.81%,276.0,nc,18.35%,4175.0
3250,Cagny,23560.0,13.29%,1.03%,2136.88,88.69%,124.0,nc,20.21%,2003.0
3251,Châtelaillon-Plage,31101.0,15.53%,2.12%,2628.60,80.36%,533.0,nc,17.91%,6024.0
3252,Étel,27900.0,17.86%,2.14%,2417.38,82.98%,160.0,nc,16.89%,2053.0
3253,Pleine-Fougères,20811.0,9.24%,1.22%,nc,81.64%,98.0,nc,16.89%,1971.0
3254,Plounévez-Lochrist,23475.0,9.92%,0.92%,2089.66,80.95%,105.0,nc,13.15%,2297.0
3255,Pontailler-sur-Saône,22565.0,13.30%,1.55%,nc,85.35%,90.0,nc,20.37%,1297.0
3256,Rumilly-en-Cambrésis,25863.0,12.77%,2.52%,nc,80.67%,62.0,nc,14.77%,1431.0
3257,Trédion,23574.0,13.38%,1.93%,nc,84.42%,70.0,nc,16.75%,1323.0
3258,LesAchards,25371.0,11.84%,0.91%,2205.04,86.36%,415.0,nc,18.10%,5331.0
3259,Lux,25915.0,13.14%,1.69%,nc,85.80%,134.0,nc,20.34%,2012.0
3260,Maël-Carhaix,20367.0,10.22%,2.05%,nc,82.27%,96.0,nc,13.88%,1466.0
3261,Ollioules,30692.0,11.83%,2.84%,2582.11,84.18%,1751.0,nc,19.94%,13991.0
3262,Amou,22428.0,12.02%,1.54%,nc,76.42%,102.0,nc,13.40%,1565.0
3263,Beaulieu-sur-Loire,23746.0,13.78%,2.15%,nc,87.11%,86.0,nc,15.56%,1779.0
3264,Boé,26632.0,11.96%,1.56%,2291.75,86.69%,656.0,nc,17.39%,5639.0
3265,Branges,22867.0,9.83%,1.06%,2110.13,83.55%,143.0,nc,14.32%,2350.0
3266,Brou-sur-Chantereine,24463.0,11.51%,2.44%,2437.09,90.12%,291.0,nc,20.45%,4890.0
3267,Châtenoy-le-Royal,26847.0,11.72%,1.94%,2330.32,86.98%,349.0,nc,16.94%,6148.0
3268,Cloyes-les-Trois-Rivières,25328.0,10.80%,1.57%,2265.05,84.84%,297.0,nc,14.08%,5618.0
3269,Cruas,24486.0,12.99%,1.69%,2548.06,84.87%,153.0,nc,18.64%,3069.0
3270,Gignac-la-Nerthe,26321.0,11.99%,2.95%,2572.39,88.87%,875.0,nc,20.24%,9899.0
3271,Mauzé-sur-le-Mignon,23375.0,12.15%,1.04%,2287.72,86.16%,181.0,nc,18.67%,2893.0
3272,Plouëc-du-Trieux,21919.0,12.78%,1.84%,nc,82.61%,52.0,nc,15.75%,1143.0
3273,Saint-Geniès-de-Comolas,24671.0,12.35%,2.74%,2381.31,87.37%,113.0,nc,18.66%,1999.0
3274,Sizun,23457.0,10.81%,1.51%,2192.08,86.75%,134.0,nc,16.08%,2304.0
3275,Verberie,25966.0,13.45%,1.75%,2525.93,85.97%,268.0,nc,21.71%,3788.0
3276,Villecroze,23668.0,10.55%,2.74%,nc,78.36%,190.0,nc,14.73%,1483.0
3277,Champagné,25986.0,8.83%,1.03%,2254.94,78.38%,172.0,nc,20.39%,3697.0
3278,Licques,22304.0,13.32%,1.41%,nc,84.85%,100.0,nc,16.08%,1639.0
3279,Rieux-Volvestre,23405.0,9.72%,1.87%,2375.03,85.57%,210.0,nc,19.85%,2627.0
3280,Achères,27572.0,13.24%,2.79%,2814.10,87.19%,1268.0,nc,21.50%,21660.0
3281,Ancerville,25245.0,9.56%,1.85%,2234.09,85.13%,108.0,nc,16.74%,2617.0
3282,Appoigny,26088.0,10.97%,2.87%,2360.58,86.21%,257.0,nc,16.72%,3207.0
3283,Ciboure,29710.0,13.99%,2.39%,2479.57,85.80%,668.0,nc,19.13%,6109.0
3284,Cintegabelle,24310.0,9.81%,1.91%,2367.95,84.54%,234.0,nc,17.80%,2959.0
3285,Fabrègues,27016.0,12.36%,2.11%,2498.99,86.40%,712.0,nc,19.15%,7194.0
3286,Guimiliau,22337.0,12%,2.39%,nc,82.82%,37.0,nc,17.03%,1007.0
3287,LeFousseret,22969.0,9.22%,1.91%,nc,83.03%,170.0,nc,17.49%,1895.0
3288,LesSables-d'Olonne,29757.0,14.14%,1.45%,2415.61,84.50%,4354.0,9030,16.23%,46941.0
3289,Pont-d'Ain,24497.0,10.29%,1.67%,2311.88,85.50%,230.0,nc,18.53%,2904.0
3290,Routot,24802.0,13.90%,1.26%,nc,84.59%,79.0,nc,19.76%,1699.0
3291,Villefranche-d'Allier,21199.0,11.44%,1.97%,nc,83.94%,68.0,nc,15.30%,1282.0
3292,Laroque-des-Albères,26970.0,20.69%,2.84%,2502.13,83.22%,202.0,nc,14.74%,2192.0
3293,Nieppe,27709.0,11.87%,2.51%,2458.11,87.11%,497.0,nc,18.74%,7528.0
3294,Saint-Georges-du-Bois,24407.0,13.10%,1.63%,nc,85.38%,103.0,nc,17.14%,1807.0
3295,Beauquesne,24458.0,10.60%,2.48%,nc,83.76%,52.0,nc,18.23%,1337.0
3296,Bourg-Achard,24228.0,8.53%,4.58%,2630.72,85.60%,339.0,nc,23.52%,3939.0
3297,Cissac-Médoc,24697.0,12.24%,1.64%,2209.74,84.74%,145.0,nc,14.06%,2213.0
3298,Peyrat-le-Château,18609.0,13.32%,3.01%,nc,84.69%,83.0,nc,11.84%,1029.0
3299,Plaine-et-Vallées,21945.0,8.56%,1.19%,2089.66,83.46%,102.0,nc,12.55%,2367.0
3300,Saint-Germain-du-Bois,21929.0,11.50%,1.67%,nc,85.37%,158.0,nc,15.81%,1890.0
3301,Saint-Laurent-en-Royans,21747.0,13.55%,1.29%,nc,85.56%,109.0,nc,19.13%,1409.0
3302,Sainte-Marie,24438.0,10.81%,1.37%,2159.29,86.50%,123.0,nc,17.03%,2273.0
3303,Verdelais,21088.0,10.27%,1.84%,nc,77.86%,66.0,nc,18.26%,1031.0
3304,Baironetsesenvirons,20925.0,14.39%,1.66%,nc,85.12%,64.0,nc,18.10%,1026.0
3305,Billy-Berclau,25764.0,11.37%,1.68%,2323.58,87.16%,218.0,nc,17.04%,5034.0
3306,Cerisy-la-Salle,19857.0,10.67%,1.95%,nc,83.88%,53.0,nc,19.22%,1009.0
3307,Locmiquélic,25651.0,12.13%,1.55%,2443.65,82.06%,238.0,nc,15.95%,4056.0
3308,Noaillan,24718.0,13.19%,1.74%,nc,83.47%,118.0,nc,16.43%,1671.0
3309,Biarritz,32464.0,14.38%,2.96%,2857.62,83.82%,5023.0,9587,20.04%,25885.0
3310,Génelard,22766.0,12.16%,2.58%,nc,87.14%,86.0,nc,17.11%,1394.0
3311,Hélesmes,26141.0,13.12%,2.39%,nc,87.03%,90.0,nc,17.39%,1937.0
3312,L'Hermitage,27384.0,10.58%,1.68%,2375.56,84.75%,267.0,nc,21.31%,4647.0
3313,Lorrez-le-Bocage-Préaux,24424.0,14.21%,3.13%,nc,88.06%,78.0,nc,20.36%,1208.0
3314,Luzech,21544.0,9.31%,2.20%,nc,83.52%,129.0,nc,14.96%,1776.0
3315,Péronnas,27829.0,11.85%,1.69%,2389.10,84.68%,468.0,nc,17.26%,6460.0
3316,Saulce-sur-Rhône,23628.0,11.80%,1.52%,nc,83.62%,172.0,nc,16.99%,1838.0
3317,Vittel,28849.0,13.08%,2.42%,2595.95,83.73%,419.0,nc,19.55%,4805.0
3318,Cachan,30685.0,13.36%,2.66%,3126.39,85.10%,2222.0,6546,24.36%,30214.0
3319,Châtillon-sur-Thouet,23359.0,8.93%,0.67%,2091.01,82.35%,165.0,nc,17%,2671.0
3320,Évran,22883.0,10.43%,1.39%,nc,82.73%,138.0,nc,17.78%,1783.0
3321,Pontchâteau,25690.0,9.96%,1.37%,2400.25,85.47%,603.0,nc,20.04%,11030.0
3322,Seysses,27321.0,11.94%,2.65%,2585.20,86.91%,657.0,nc,18.95%,9725.0
3323,Valdivienne,24575.0,10.62%,1.57%,2249.53,86.13%,122.0,nc,16.61%,2753.0
3324,Vinay,24308.0,10.34%,1.31%,2364.12,85.73%,341.0,nc,20.18%,4405.0
3325,Feugarolles,20545.0,13.23%,1.88%,nc,74.84%,68.0,nc,13.37%,1007.0
3326,Jouarre,24697.0,13.09%,1.88%,2450.79,88.36%,234.0,nc,18.61%,4345.0
3327,Modane,24596.0,8.72%,1.56%,2319.08,75.32%,367.0,nc,17.02%,3010.0
3328,Péaule,23848.0,9.79%,1.26%,2123.48,84.61%,159.0,nc,14.13%,2718.0
3329,Pouilly-en-Auxois,22568.0,10.92%,2.01%,nc,86.42%,189.0,nc,21.15%,1537.0
3330,Banon,20541.0,12.72%,1.60%,nc,80.60%,119.0,nc,16.53%,1057.0
3331,Barsac,24410.0,10.21%,1.99%,2317.37,85.02%,183.0,nc,18.79%,2069.0
3332,Baud,24410.0,8.80%,1.27%,2235.38,85.45%,430.0,nc,16.99%,6242.0
3333,Bussang,21154.0,13.57%,1.14%,nc,79.54%,95.0,nc,15.08%,1339.0
3334,Castelnau-de-Guers,23602.0,19.25%,3.62%,nc,88.05%,93.0,nc,15.23%,1231.0
3335,Montivilliers,28616.0,12.43%,2.61%,2629.03,86.80%,735.0,nc,20.20%,15500.0
3336,Niederbronn-les-Bains,26659.0,11.08%,1.90%,2382.63,85.01%,300.0,nc,17.27%,4369.0
3337,Saint-Gervais,24686.0,11.95%,0.66%,2082.52,82.76%,142.0,nc,14.10%,2694.0
3338,Saint-Hilaire-de-Riez,28286.0,14.48%,1.20%,2251.73,84.72%,861.0,nc,13.29%,12137.0
3339,Vasles,19500.0,10.23%,1.20%,nc,78.26%,132.0,nc,14.47%,1676.0
3340,Arnèke,22565.0,12.13%,1.41%,nc,84.42%,89.0,nc,17.23%,1566.0
3341,LaBazoche-Gouet,21405.0,14.39%,1.73%,nc,82.01%,76.0,nc,11.03%,1223.0
3342,LeGâvre,22302.0,10.77%,1.34%,nc,85.92%,83.0,nc,19.13%,1842.0
3343,Rouhling,24570.0,12%,2.17%,nc,88.70%,55.0,nc,18.35%,1995.0
3344,Saâcy-sur-Marne,25670.0,14.44%,2.47%,nc,87.67%,163.0,nc,17.49%,1859.0
3345,Saint-Laurent-du-Pont,22496.0,8.27%,1.38%,2376.55,85.44%,324.0,nc,20.97%,4499.0
3346,Saint-Remy-du-Nord,25212.0,19.28%,2.80%,nc,86.93%,42.0,nc,18.13%,1083.0
3347,Archigny,20523.0,10.82%,2.54%,nc,85.50%,57.0,nc,17.51%,1063.0
3348,Batz-sur-Mer,26953.0,14.15%,2.02%,2437.10,81.76%,373.0,nc,15.48%,2822.0
3349,Cartignies,23153.0,13.22%,2.70%,nc,85.37%,50.0,nc,14.76%,1257.0
3350,Molsheim,28158.0,10.78%,2.25%,2450.02,86.26%,791.0,nc,19.85%,9352.0
3351,Portet-sur-Garonne,28140.0,12.29%,2.62%,2592.33,86.61%,1169.0,nc,19.56%,9832.0
3352,Bagnac-sur-Célé,20764.0,10.62%,1.76%,nc,85.24%,113.0,nc,16.79%,1473.0
3353,Cézac,22824.0,11.51%,1.63%,2318.10,87.29%,173.0,nc,16.44%,2678.0
3354,Coullons,25153.0,10.21%,2.02%,2220.37,86.09%,140.0,nc,16.58%,2293.0
3355,Ducey-LesChéris,23012.0,6.90%,1.52%,2183.69,84.36%,161.0,nc,17.40%,2827.0
3356,Finhan,23054.0,13.12%,1.47%,nc,86.80%,70.0,nc,19.48%,1522.0
3357,Forcalqueiret,26604.0,15%,1.87%,2348.29,87.19%,262.0,nc,16.89%,3185.0
3358,Furiani,26065.0,10.57%,1.82%,2321.94,87.68%,769.0,nc,19.83%,5772.0
3359,Houlle,23351.0,12.74%,2.01%,nc,82.67%,49.0,nc,16.04%,1163.0
3360,LaDouze,21307.0,17.23%,1.39%,nc,83.03%,85.0,nc,14.72%,1162.0
3361,Luneray,24506.0,11.95%,1.38%,2234.02,84.05%,158.0,nc,15.44%,2164.0
3362,Plouasne,22206.0,9.30%,1.62%,nc,81.90%,105.0,nc,16.54%,1721.0
3363,Saint-Privat-des-Vieux,29433.0,13.15%,2.01%,2294.48,87.51%,371.0,nc,17.29%,5373.0
3364,Villeveyrac,24430.0,11.55%,1.86%,2442.26,86.81%,331.0,nc,17.90%,3909.0
3365,Aigurande,20503.0,10.74%,1.69%,nc,82.04%,125.0,nc,15.08%,1390.0
3366,Arinthod,21350.0,11.36%,1.41%,nc,77.59%,90.0,nc,17.86%,1112.0
3367,Bassan,25031.0,12.75%,1.75%,2306.19,86.63%,132.0,nc,17.45%,2221.0
3368,Bournoncle-Saint-Pierre,20964.0,13.20%,1.85%,nc,84.46%,49.0,nc,17.23%,1002.0
3369,Coray,21756.0,9.41%,1.49%,nc,83.94%,127.0,nc,17.38%,1887.0
3370,Cugnaux,28484.0,12.54%,2.87%,2699.87,87.02%,1559.0,nc,20.83%,20100.0
3371,Lubersac,22052.0,8.18%,1.02%,2103.11,82.79%,178.0,nc,15.76%,2246.0
3372,Montmorot,25322.0,10.02%,1.17%,2291.56,81.51%,229.0,nc,18.52%,3099.0
3373,Panissières,23005.0,7.76%,1.19%,2155.31,84.67%,209.0,nc,17.68%,2883.0
3374,Pierrelaye,25382.0,9.37%,3.63%,2546.60,87.65%,916.0,nc,18.73%,9734.0
3375,Saint-Vincent-des-Landes,23310.0,11.21%,1.64%,nc,83.58%,86.0,nc,17.07%,1531.0
3376,Signes,25815.0,14.84%,2.19%,2496.89,87.13%,503.0,nc,19.65%,2992.0
3377,Ydes,21234.0,9.67%,1.29%,nc,83.62%,108.0,nc,19.52%,1632.0
3378,Annœullin,26751.0,12.50%,1.85%,2498.93,87.32%,496.0,nc,18.38%,10679.0
3379,Cheniménil,24493.0,14.49%,1.61%,nc,83.85%,46.0,nc,18.07%,1242.0
3380,Crots,24678.0,10.77%,2.99%,nc,76.80%,114.0,nc,17.43%,1125.0
3381,Guéthary,31256.0,14.66%,4.31%,nc,82.13%,243.0,nc,22.45%,1328.0
3382,LeFleix,21771.0,12.95%,2.41%,nc,85.99%,108.0,nc,13.06%,1492.0
3383,Muzillac,26491.0,10.37%,1.47%,2247.69,84.74%,441.0,nc,16.19%,5054.0
3384,Port-Bail-sur-Mer,24904.0,13.26%,1.54%,2392.08,79.87%,180.0,nc,13.58%,2545.0
3385,Vals-près-le-Puy,24413.0,9.34%,0.94%,2195.78,85.31%,149.0,nc,19.69%,3421.0
3386,Alignan-du-Vent,25425.0,12.65%,2.22%,nc,84.40%,118.0,nc,15.71%,1764.0
3387,Belpech,19689.0,10%,1.79%,nc,84.86%,97.0,nc,16.99%,1339.0
3388,Ciré-d'Aunis,23461.0,11.38%,1.56%,nc,83.99%,104.0,nc,18.79%,1509.0
3389,Mazan,27835.0,13.03%,1.79%,2446.64,84.50%,549.0,nc,16.24%,6235.0
3390,Damparis,24822.0,9.46%,1.65%,2349.38,84.40%,118.0,nc,19.98%,2621.0
3391,Gasny,25955.0,13.80%,2.05%,2394.65,87.26%,177.0,nc,17.06%,3065.0
3392,PassaisVillages,20525.0,12.06%,2.07%,nc,81.42%,80.0,nc,11.62%,1163.0
3393,Bras,24918.0,13.06%,2.66%,2568.55,86.13%,250.0,nc,17.93%,2625.0
3394,Erdeven,27118.0,11.56%,2.14%,2371.02,84.39%,317.0,nc,15.68%,3958.0
3395,Espelette,24932.0,10.18%,1.77%,2210.31,84.83%,214.0,nc,17.13%,2036.0
3396,Jargeau,26874.0,10.89%,1.91%,2485.83,84.57%,296.0,nc,19.39%,4688.0
3397,Pontlevoy,23803.0,11.60%,1.85%,nc,84.27%,99.0,nc,17.43%,1518.0
3398,Queyrac,22018.0,13.90%,2.97%,nc,87.77%,101.0,nc,14.64%,1360.0
3399,Gorze,20246.0,10.46%,1.83%,nc,86.52%,62.0,nc,23.14%,1155.0
3400,Gouaix,23270.0,15.37%,2.70%,nc,88.91%,84.0,nc,16.70%,1361.0
3401,Grimaud,34805.0,14.70%,3.71%,2506.01,83.54%,1410.0,nc,18.09%,4607.0
3402,LeLangon,21614.0,13.73%,1.55%,nc,79.46%,56.0,nc,15.52%,1012.0
3403,Nantiat,22281.0,10.18%,1.94%,nc,86.86%,84.0,nc,19.32%,1604.0
3404,Plédran,26151.0,7.91%,1.26%,2167.69,85.26%,286.0,nc,17.87%,6920.0
3405,Roquebrune-sur-Argens,30394.0,12.36%,2.59%,2509.95,86.30%,2213.0,nc,18.76%,14335.0
3406,Sainte-Sigolène,26903.0,10%,0.76%,2197.55,83.09%,364.0,nc,19.01%,6023.0
3407,Arches,24170.0,13.89%,1.85%,nc,87.20%,98.0,nc,18.08%,1628.0
3408,Bricquebec-en-Cotentin,24591.0,11.05%,1.09%,2405.53,83.93%,275.0,nc,17.10%,5847.0
3409,LaChapelle-Saint-Laurent,22678.0,7.30%,1.26%,2095.59,82.74%,110.0,nc,15.74%,2049.0
3410,Marssac-sur-Tarn,26289.0,11.83%,1.97%,2319.25,86.85%,295.0,nc,17.05%,3439.0
3411,Sainte-Croix-aux-Mines,25941.0,15.35%,1.66%,nc,84.16%,112.0,nc,15.27%,1857.0
3412,Béguey,23272.0,12.46%,1.57%,nc,82.65%,96.0,nc,18.87%,1206.0
3413,Bourth,23871.0,14.18%,1.62%,nc,81.30%,88.0,nc,16.57%,1188.0
3414,Brazey-en-Plaine,25407.0,12.15%,1.37%,2182.75,85.85%,180.0,nc,15.57%,2378.0
3415,Carros,26378.0,13.60%,1.45%,2411.10,87.75%,1475.0,nc,17.43%,12875.0
3416,Castelmayran,22316.0,12.90%,1.17%,nc,80.39%,59.0,nc,17.40%,1212.0
3417,Comps,25226.0,11.16%,2.73%,nc,85.21%,122.0,nc,16.45%,1736.0
3418,Ingersheim,26794.0,11.90%,2.19%,2423.27,86.53%,321.0,nc,16.98%,4680.0
3419,L'Aiguillon-sur-Vie,25133.0,11%,0.94%,2147.28,81.15%,129.0,nc,15.77%,2067.0
3420,Magny-en-Vexin,26029.0,13.48%,2.07%,2591.30,87.98%,545.0,nc,21.80%,5810.0
3421,Pouilly-sur-Loire,28615.0,11.02%,3.67%,nc,82.84%,108.0,nc,18.05%,1607.0
3422,Saint-Amant-de-Boixe,22940.0,13.30%,2.28%,nc,88.08%,88.0,nc,19.25%,1322.0
3423,Saint-Donat-sur-l'Herbasse,24601.0,11.95%,1.22%,2473.45,84.38%,422.0,nc,19.93%,4294.0
3424,Saint-Maximin-la-Sainte-Baume,28077.0,14.20%,1.94%,2660.29,86.40%,1899.0,nc,18.93%,17468.0
3425,Sainte-Anne-sur-Vilaine,20891.0,13.59%,1.64%,nc,84.66%,55.0,nc,17.16%,1034.0
3426,Scey-sur-Saône-et-Saint-Albin,22333.0,10.53%,1.76%,nc,85.74%,78.0,nc,17.97%,1533.0
3427,Vimartin-sur-Orthe,21318.0,13.35%,1.70%,nc,78.09%,57.0,nc,11%,1120.0
3428,Abrest,25311.0,10.35%,2.09%,2289.42,86.47%,215.0,nc,16.89%,2899.0
3429,LaMadeleine,31340.0,12.86%,3.03%,3012.77,85.35%,2145.0,8474,23.73%,22214.0
3430,Plouray,17728.0,11.99%,2.23%,nc,83.63%,68.0,nc,13.07%,1046.0
3431,Saint-Pardoux-la-Rivière,19811.0,15.87%,1.03%,nc,80.50%,106.0,nc,14.88%,1169.0
3432,Athis-Mons,26466.0,8.90%,3.08%,2547.55,87.38%,2602.0,nc,20.42%,35641.0
3433,Availles-Limouzine,19206.0,7.95%,3.49%,nc,82.05%,118.0,nc,15.29%,1237.0
3434,Châteaubernard,26393.0,11.18%,1.86%,2465.38,82.13%,333.0,nc,16.66%,3766.0
3435,Cussac-Fort-Médoc,27061.0,13.39%,1.77%,2210.34,86.94%,104.0,nc,15.73%,2363.0
3436,Deux-Grosnes,21760.0,8.63%,1.93%,nc,85.25%,128.0,nc,17.45%,1914.0
3437,Louvres,25745.0,11.70%,1.88%,2423.66,88.72%,731.0,nc,17.93%,11356.0
3438,Montbeton,25843.0,9.50%,1.37%,2272.90,85.47%,213.0,nc,19.19%,4238.0
3439,PeyreenAubrac,22069.0,8.75%,1.04%,2032.06,84.26%,163.0,nc,13.13%,2295.0
3440,Chaillevette,23722.0,12.57%,1.71%,nc,80.49%,127.0,nc,13.53%,1628.0
3441,Gerbéviller,22166.0,14.21%,1.29%,nc,86.89%,66.0,nc,20.29%,1330.0
3442,Landrethun-le-Nord,22702.0,13.15%,1.93%,nc,87.95%,47.0,nc,19.98%,1252.0
3443,Pannes,26342.0,11.47%,1.94%,2321.33,87.23%,169.0,nc,16.83%,3694.0
3444,Roquefort-des-Corbières,23493.0,16.62%,2.35%,nc,84.33%,82.0,nc,16.16%,1005.0
3445,Châtillon-sur-Chalaronne,25655.0,10.70%,1.46%,2391.58,85%,472.0,nc,18.21%,4968.0
3446,Corbère-les-Cabanes,23933.0,14.92%,2.09%,nc,82.89%,70.0,nc,16.39%,1040.0
3447,Goderville,24565.0,11.54%,1.62%,2500.23,84.62%,164.0,nc,19.02%,2853.0
3448,Grand-Fougeray,22818.0,7.95%,1.30%,2217.39,83.94%,183.0,nc,18.32%,2455.0
3449,Janville-en-Beauce,25368.0,12.62%,1.43%,2261.21,87.02%,132.0,nc,17.20%,2541.0
3450,Juvisy-sur-Orge,27513.0,11.24%,2.37%,2660.10,86.22%,1674.0,nc,20.13%,17656.0
3451,Nogent-le-Roi,25099.0,12.90%,1.58%,2463.92,87.30%,280.0,nc,19.94%,3990.0
3452,Ouistreham,29235.0,12.85%,2.22%,2438.41,86.78%,663.0,nc,17.09%,9438.0
3453,Plerguer,24012.0,10.74%,0.74%,2090.12,86.46%,164.0,nc,16.65%,2826.0
3454,Racquinghem,24522.0,11.31%,1.54%,2203.59,88.26%,82.0,nc,17.12%,2218.0
3455,Saint-André-lez-Lille,27563.0,10.76%,2.63%,2649.64,86.33%,914.0,nc,21.04%,13004.0
3456,Saint-Brès,25884.0,12.44%,2.19%,2555.36,86.43%,264.0,nc,21.52%,3293.0
3457,Verniolle,25316.0,11.98%,1.88%,2311.40,84.27%,203.0,nc,15.48%,2295.0
3458,Ansauvillers,22423.0,13.30%,1.89%,nc,87.84%,45.0,nc,20.89%,1185.0
3459,Cluny,25533.0,8.60%,1.32%,2368.30,82.73%,452.0,nc,22.08%,4931.0
3460,Mouchard,23318.0,11.04%,1.65%,nc,77.26%,66.0,nc,19.40%,1062.0
3461,Saint-Étienne-de-Mer-Morte,21680.0,9.52%,1.15%,nc,80.24%,71.0,nc,16.65%,1724.0
3462,Salignac-Eyvigues,23784.0,16.63%,1.69%,nc,81.40%,124.0,nc,14.94%,1189.0
3463,Cébazat,27303.0,13.11%,2.07%,2558.02,86.95%,496.0,nc,17.45%,8951.0
3464,Croix,33299.0,14.24%,3.75%,2840.98,86.93%,1548.0,8798,24.78%,20574.0
3465,Dinard,31214.0,13.24%,1.87%,2703.79,77.24%,1102.0,nc,18.23%,10235.0
3466,LaCanourgue,23446.0,7.56%,1.48%,2138.98,86.01%,175.0,nc,20.68%,2099.0
3467,Mollans-sur-Ouvèze,22807.0,14.07%,1.98%,nc,75.65%,111.0,nc,13.98%,1065.0
3468,Plonéis,25334.0,9.29%,1.28%,2139.84,86.25%,118.0,nc,18.54%,2449.0
3469,Rauzan,20300.0,11.70%,1.84%,nc,84.25%,133.0,nc,15.61%,1248.0
3470,Sailly-Flibeaucourt,22384.0,13.83%,2.16%,nc,83.94%,40.0,nc,15.51%,1024.0
3471,Sèvremont,24576.0,7.60%,0.59%,2103.50,80.38%,312.0,nc,16.15%,6417.0
3472,Bouin,23758.0,8.99%,0.84%,2083.73,79.48%,148.0,nc,14.98%,2155.0
3473,Crépy-en-Valois,25917.0,12.01%,1.63%,2566.02,87.24%,888.0,nc,19.42%,14365.0
3474,Plounévez-Quintin,22737.0,10.34%,2.55%,nc,80.78%,43.0,nc,15.85%,1065.0
3475,Pont-de-l'Arche,27019.0,11.76%,1.74%,2565.93,83.90%,215.0,nc,20.92%,4139.0
3476,Saint-Germain-Laval,26129.0,13.37%,2.23%,2421.47,85.73%,134.0,nc,15.52%,2769.0
3477,Barenton,18287.0,9.72%,1.54%,nc,83.08%,51.0,nc,16.48%,1176.0
3478,Colombier-Fontaine,23735.0,12.12%,1.92%,nc,83.08%,71.0,nc,17.07%,1205.0
3479,Ferrières-en-Gâtinais,26245.0,12.63%,2%,2409.71,86.72%,242.0,nc,16.99%,3712.0
3480,Hornoy-le-Bourg,22493.0,12.93%,1.08%,nc,84.94%,69.0,nc,17.11%,1679.0
3481,Pleslin-Trigavou,25057.0,10.22%,0.83%,2202.26,83.64%,233.0,nc,16.79%,3867.0
3482,Vitry-sur-Orne,26105.0,13.54%,1.95%,2350.22,87.54%,112.0,nc,15.97%,3019.0
3483,Boivre-la-Vallée,24114.0,9.61%,1.47%,2160.91,87.87%,150.0,nc,16.06%,3079.0
3484,Châlus,19622.0,13.18%,1.81%,nc,88.52%,136.0,nc,15.07%,1647.0
3485,Colombiers,25890.0,13.04%,1.65%,2324.30,87.03%,371.0,nc,19.38%,2680.0
3486,Évaux-les-Bains,19820.0,8.58%,1.63%,nc,80.32%,120.0,nc,17.51%,1297.0
3487,Jumilhac-le-Grand,20471.0,15.20%,2.46%,nc,86.10%,113.0,nc,12.63%,1144.0
3488,Langoiran,24875.0,13.75%,2.05%,2567.87,84.86%,214.0,nc,19.49%,2172.0
3489,Saint-Lizier,24122.0,14.06%,3.34%,nc,86.88%,115.0,nc,15.03%,1367.0
3490,Augan,21009.0,8.89%,1.32%,nc,79.89%,60.0,nc,16.46%,1522.0
3491,Chaillac,17619.0,9.38%,2%,nc,82.73%,79.0,nc,16.68%,1068.0
3492,Écoyeux,24414.0,11.93%,1.36%,nc,79.77%,77.0,nc,17.34%,1386.0
3493,Figari,23324.0,16.72%,1.76%,nc,86.36%,231.0,nc,15.38%,1559.0
3494,Galgon,25480.0,12.34%,1.83%,2369.86,85.56%,222.0,nc,15.57%,3030.0
3495,Longjumeau,28165.0,11.84%,2.72%,2682.92,87.33%,1678.0,nc,20.53%,21105.0
3496,Mauguio,28815.0,12.71%,2.45%,2663.55,87.32%,2673.0,nc,22.57%,16714.0
3497,Sablons,21500.0,10.14%,2.75%,nc,85.48%,99.0,nc,15.88%,1309.0
3498,Saint-Vaast-la-Hougue,25103.0,16.07%,1.19%,nc,77.05%,139.0,nc,14.37%,1700.0
3499,Ambrières-les-Vallées,22770.0,7.57%,0.99%,2126.63,83.65%,151.0,nc,16.55%,2625.0
3500,Lagorce,23701.0,20.15%,1.42%,nc,80.28%,105.0,nc,14.31%,1179.0
3501,Saint-Martin-de-Crau,26237.0,10.72%,1.52%,2501.01,85.14%,960.0,nc,17.55%,13364.0
3502,Saint-Vit,28496.0,10.40%,1.74%,2327.68,84.65%,423.0,nc,18.13%,4924.0
3503,Valdahon,26953.0,9.03%,1.19%,2196.52,85.64%,372.0,nc,19.29%,5734.0
3504,Bury,24153.0,11.42%,2.03%,2315.63,89.73%,126.0,nc,16.99%,2951.0
3505,Bussière-Dunoise,19147.0,12.14%,2.02%,nc,86.25%,53.0,nc,16.44%,1035.0
3506,LesLilas,32172.0,13.36%,3.59%,3118.36,83.80%,2485.0,12599,19.57%,23276.0
3507,Mauléon,25610.0,7.59%,0.76%,2084.74,83.18%,397.0,nc,16.17%,8623.0
